signal,method,detected,detection_step,detection_latency,threshold,algo
value,sliding_window_z,True,200.0,0.0,3.0,PPO
value,cusum,True,200.0,0.0,105.50438388004451,PPO
entropy,sliding_window_z,True,212.0,12.0,3.0,PPO
entropy,cusum,True,207.0,7.0,0.7786075487244071,PPO
advantage,sliding_window_z,False,,,3.0,PPO
advantage,cusum,True,225.0,25.0,0.63044342449247,PPO
q_min,sliding_window_z,False,,,3.0,SAC
q_min,cusum,False,,,85.95675218112692,SAC
soft_value,sliding_window_z,False,,,3.0,SAC
soft_value,cusum,False,,,86.20031628948126,SAC
entropy,sliding_window_z,False,,,3.0,SAC
entropy,cusum,False,,,4.139453471845604,SAC
td_error,sliding_window_z,False,,,3.0,SAC
td_error,cusum,False,,,0.6525657171495042,SAC
value,sliding_window_z,False,,,3.0,Q-learning
value,cusum,False,,,15.552567520105676,Q-learning
q_chosen,sliding_window_z,False,,,3.0,Q-learning
q_chosen,cusum,False,,,15.552567520105676,Q-learning
td_error,sliding_window_z,False,,,3.0,Q-learning
td_error,cusum,False,,,1.9179557752929133,Q-learning
