algo,condition,rate,sigma,snr,detector,params,at_grid_edge,viable,det_rate,fa_rate,J,det_fixed_z,fa_fixed_z,J_fixed_z,gain_at_alarm
PPO_DR,deterministic,0.002,0.0,inf,ztest,{'z_star': 2.25},False,True,0.66,0.36,0.30000000000000004,0.3,0.06,0.24,0.6347392786644231
PPO_DR,deterministic,0.002,0.0,inf,page_hinkley,"{'delta': 0.25, 'lam': 80}",True,True,0.62,0.62,0.0,,,,0.5939572210467838
PPO_DR,deterministic,0.002,0.0,inf,ewma,"{'alpha': 0.2, 'L': 6.5}",True,True,0.6,0.34,0.25999999999999995,,,,0.6451893631260103
PPO_DR,mild noise SNR~4.2,0.002,0.05,4.214261501141095,ztest,{'z_star': 2.25},False,True,0.76,0.36,0.4,0.38,0.06,0.32,0.6043310546981012
PPO_DR,mild noise SNR~4.2,0.002,0.05,4.214261501141095,page_hinkley,"{'delta': 0.25, 'lam': 80}",True,False,0.74,0.62,0.12,,,,0.5678469169809984
PPO_DR,mild noise SNR~4.2,0.002,0.05,4.214261501141095,ewma,"{'alpha': 0.2, 'L': 6.5}",True,True,0.72,0.34,0.37999999999999995,,,,0.6100969070714202
PPO_DR,moderate noise SNR~2.1,0.002,0.1,2.1071307505705477,ztest,{'z_star': 2.25},False,True,0.76,0.36,0.4,0.48,0.06,0.42,0.6015013528078819
PPO_DR,moderate noise SNR~2.1,0.002,0.1,2.1071307505705477,page_hinkley,"{'delta': 0.25, 'lam': 80}",True,True,0.8,0.62,0.18000000000000005,,,,0.5903057646374119
PPO_DR,moderate noise SNR~2.1,0.002,0.1,2.1071307505705477,ewma,"{'alpha': 0.2, 'L': 5.5}",True,True,0.88,0.54,0.33999999999999997,,,,0.661103304556837
PPO_DR,high noise SNR~1.05,0.002,0.2,1.0535653752852738,ztest,{'z_star': 3.0},False,True,0.66,0.14,0.52,0.58,0.06,0.52,0.557310231969019
PPO_DR,high noise SNR~1.05,0.002,0.2,1.0535653752852738,page_hinkley,"{'delta': 0.25, 'lam': 80}",True,True,0.68,0.62,0.06000000000000005,,,,0.5338746976590336
PPO_DR,high noise SNR~1.05,0.002,0.2,1.0535653752852738,ewma,"{'alpha': 0.2, 'L': 8.0}",True,True,0.7,0.18,0.52,,,,0.5234809221908006
