algo,fault_step,TPR,FPR,J
PPO,0,0.7699999999999999,0.09999999999999999,0.6699999999999999
PPO,50,0.6300000000000001,0.09999999999999999,0.5300000000000001
PPO,100,0.44000000000000006,0.09999999999999999,0.3400000000000001
PPO,200,0.32999999999999996,0.09999999999999999,0.22999999999999998
PPO,300,0.19000000000000003,0.09999999999999999,0.09000000000000004
SAC,0,0.99,0.32,0.6699999999999999
SAC,50,0.8600000000000001,0.32,0.54
SAC,100,0.6599999999999999,0.32,0.3399999999999999
SAC,200,0.6200000000000001,0.32,0.3000000000000001
SAC,300,0.51,0.32,0.19
PPO_DR,0,0.8699999999999999,0.01,0.8599999999999999
PPO_DR,50,0.8700000000000001,0.01,0.8600000000000001
PPO_DR,100,0.8699999999999999,0.01,0.8599999999999999
PPO_DR,200,0.96,0.01,0.95
PPO_DR,300,0.9800000000000001,0.01,0.9700000000000001
