scope,gain,seed,return,length
all,0.0,0,297.48841977345467,170.0
all,0.0,0,287.086866819911,216.0
all,0.0,0,282.29655995644544,201.0
all,0.0,0,308.8467206532854,168.0
all,0.0,0,279.2781354146269,187.0
all,0.0,0,268.03797031559736,173.0
all,0.0,0,277.6277731723268,156.0
all,0.0,0,273.2061879547193,167.0
all,0.0,0,283.0957121286749,180.0
all,0.0,0,194.38766057103163,433.0
all,0.0,0,286.88606970508937,149.0
all,0.0,0,254.6202385545835,166.0
all,0.0,0,274.56958003975694,186.0
all,0.0,0,265.0382694626629,182.0
all,0.0,0,283.23636810479934,147.0
all,0.0,0,272.5688979546129,167.0
all,0.0,0,247.01899760246076,173.0
all,0.0,0,273.7002476717153,164.0
all,0.0,0,-77.77671005928259,402.0
all,0.0,0,274.64798963595877,165.0
all,0.0,1,23.026726027298324,140.0
all,0.0,1,279.45014857530094,187.0
all,0.0,1,282.4277832189955,226.0
all,0.0,1,300.8606656301481,212.0
all,0.0,1,281.649433767426,164.0
all,0.0,1,269.4829677260698,192.0
all,0.0,1,292.40922064451837,214.0
all,0.0,1,267.10713753834267,182.0
all,0.0,1,68.79769731641372,220.0
all,0.0,1,240.67045514311,391.0
all,0.0,1,288.2508186260376,221.0
all,0.0,1,268.6874526291683,204.0
all,0.0,1,278.5557343042749,212.0
all,0.0,1,276.45692472954966,182.0
all,0.0,1,273.8621480004333,206.0
all,0.0,1,242.11413499122156,167.0
all,0.0,1,274.8737912626625,186.0
all,0.0,1,246.08484942443624,232.0
all,0.0,1,263.295972276365,192.0
all,0.0,1,284.191931196203,200.0
all,0.0,2,244.54207897591496,220.0
all,0.0,2,281.4473512339596,231.0
all,0.0,2,283.5475625300744,271.0
all,0.0,2,280.389932819342,241.0
all,0.0,2,277.69701510441325,220.0
all,0.0,2,281.6540286531846,198.0
all,0.0,2,281.4817639900153,273.0
all,0.0,2,259.3679232633113,213.0
all,0.0,2,263.9249275578961,251.0
all,0.0,2,253.53885997700476,240.0
all,0.0,2,274.5928626389673,233.0
all,0.0,2,278.03031659236115,193.0
all,0.0,2,249.22491297376658,208.0
all,0.0,2,285.03665811274846,236.0
all,0.0,2,284.6824323757626,264.0
all,0.0,2,268.44934542294584,190.0
all,0.0,2,303.3462180318638,282.0
all,0.0,2,59.15483511148349,215.0
all,0.0,2,295.12220917371604,226.0
all,0.0,2,273.9982597723318,231.0
all,0.0,3,239.9927367879422,186.0
all,0.0,3,261.63133405768207,222.0
all,0.0,3,258.1369036143943,184.0
all,0.0,3,272.3881582187056,230.0
all,0.0,3,287.8476770188049,159.0
all,0.0,3,281.0830258344663,254.0
all,0.0,3,285.31625480368376,265.0
all,0.0,3,278.4831767257959,244.0
all,0.0,3,257.6786495441306,216.0
all,0.0,3,246.96159623803527,229.0
all,0.0,3,248.70470851744284,184.0
all,0.0,3,263.04773377459844,222.0
all,0.0,3,260.02889212176495,201.0
all,0.0,3,265.19198480813407,166.0
all,0.0,3,223.9868568510404,349.0
all,0.0,3,261.67246806266394,204.0
all,0.0,3,239.06167087450524,208.0
all,0.0,3,248.61329517135601,216.0
all,0.0,3,257.29048840661073,172.0
all,0.0,3,251.332285417517,181.0
all,0.0,4,259.46139908786057,196.0
all,0.0,4,-49.5157047266178,221.0
all,0.0,4,258.5037867212071,202.0
all,0.0,4,244.97097322117736,180.0
all,0.0,4,275.68369119394146,220.0
all,0.0,4,-152.7491290768438,478.0
all,0.0,4,265.7067732960766,165.0
all,0.0,4,268.1950031504218,194.0
all,0.0,4,30.251441879861773,83.0
all,0.0,4,275.07244645834163,197.0
all,0.0,4,273.7889297229246,223.0
all,0.0,4,237.7062684953009,177.0
all,0.0,4,272.6331575700703,214.0
all,0.0,4,248.88930768888207,174.0
all,0.0,4,299.8429876877317,294.0
all,0.0,4,272.04272363837606,192.0
all,0.0,4,-22.087607796786855,221.0
all,0.0,4,300.0598904824167,240.0
all,0.0,4,281.7075026140337,228.0
all,0.0,4,271.5250867171109,204.0
all,0.25,0,297.48841977345467,170.0
all,0.25,0,287.086866819911,216.0
all,0.25,0,282.29655995644544,201.0
all,0.25,0,308.8467206532854,168.0
all,0.25,0,279.2781354146269,187.0
all,0.25,0,268.03797031559736,173.0
all,0.25,0,277.6277731723268,156.0
all,0.25,0,273.2061879547193,167.0
all,0.25,0,283.0957121286749,180.0
all,0.25,0,189.1688317087542,503.0
all,0.25,0,286.88606970508937,149.0
all,0.25,0,254.6202385545835,166.0
all,0.25,0,274.56958003975694,186.0
all,0.25,0,265.0382694626629,182.0
all,0.25,0,283.23636810479934,147.0
all,0.25,0,272.5688979546129,167.0
all,0.25,0,247.01899760246076,173.0
all,0.25,0,273.7002476717153,164.0
all,0.25,0,-65.47225628009747,394.0
all,0.25,0,274.64798963595877,165.0
all,0.25,1,23.026726027298324,140.0
all,0.25,1,279.45014857530094,187.0
all,0.25,1,282.4277832189955,226.0
all,0.25,1,300.8606656301481,212.0
all,0.25,1,281.649433767426,164.0
all,0.25,1,269.4829677260698,192.0
all,0.25,1,292.40922064451837,214.0
all,0.25,1,267.10713753834267,182.0
all,0.25,1,307.9541271372095,287.0
