algo,seed,transitions,params,val_mse,train_s
PPO,0,17676,19208,0.2486187219619751,5.419873952865601
PPO,1,14125,19208,0.4828760027885437,3.6315371990203857
PPO,2,19008,19208,0.277679979801178,4.6709067821502686
PPO,3,16745,19208,0.39914175868034363,4.13236403465271
PPO,4,16556,19208,0.508470892906189,4.081128120422363
SAC,0,10295,18952,0.4804131090641022,2.9371399879455566
SAC,1,10911,18952,0.31327131390571594,3.1176092624664307
SAC,2,12584,18952,0.5518690347671509,3.4724879264831543
SAC,3,10442,18952,0.4242524206638336,2.8704209327697754
SAC,4,15082,18952,0.4081921875476837,4.038156986236572
PPO_DR,0,33562,19208,0.3633251488208771,8.259975910186768
PPO_DR,1,41231,19208,0.4116966426372528,9.835322856903076
PPO_DR,2,34467,19208,0.3608555793762207,8.541584253311157
PPO_DR,3,23720,19208,0.5317068696022034,5.748448848724365
PPO_DR,4,26732,19208,0.3556647300720215,6.382203817367554
QLEARN,0,13570,19208,0.5975508093833923,2.7229390144348145
QLEARN,1,12738,19208,0.5661845803260803,2.7828750610351562
QLEARN,2,19433,19208,0.44495952129364014,3.3531720638275146
QLEARN,3,12176,19208,0.3668149411678314,1.9535119533538818
QLEARN,4,15455,19208,0.38489794731140137,2.891847848892212
