J,TPR,FPR,z_star,algo,gain,J_internal
0.6799999999999999,0.9399999999999998,0.26,2.45,PPO,0.25,0.35500000000000004
0.5900000000000001,0.9400000000000001,0.35,1.9,PPO,0.5,0.4
0.36,0.8299999999999998,0.47000000000000003,1.9,PPO,0.75,0.10499999999999995
0.29000000000000004,0.35,0.06,3.25,SAC,0.25,0.195
0.29000000000000004,0.35,0.06,3.25,SAC,0.5,0.29
0.25,0.38,0.13,2.85,SAC,0.75,0.26500000000000007
0.8300000000000001,0.8300000000000001,0.0,3.9,PPO_DR,0.25,0.93
0.9099999999999999,0.9199999999999999,0.01,3.75,PPO_DR,0.5,0.8
0.41,0.6799999999999999,0.27,2.9,PPO_DR,0.75,0.26
0.5599999999999999,0.71,0.15,3.4,QLEARN,0.25,
0.5700000000000001,0.5700000000000001,0.0,4.05,QLEARN,0.5,
0.53,0.54,0.01,4.0,QLEARN,0.75,
