signal,method,detected,detection_step,detection_latency,threshold,algo
value,sliding_window_z,True,50.0,0.0,3.0,PPO
value,cusum,True,50.0,0.0,10.846763572648248,PPO
entropy,sliding_window_z,True,61.0,11.0,3.0,PPO
entropy,cusum,True,50.0,0.0,1.0395393692947599,PPO
advantage,sliding_window_z,True,110.0,60.0,3.0,PPO
advantage,cusum,True,109.0,59.0,0.8887622237345981,PPO
q_min,sliding_window_z,False,,,3.0,SAC
q_min,cusum,True,50.0,0.0,89.1040172420807,SAC
soft_value,sliding_window_z,False,,,3.0,SAC
soft_value,cusum,True,50.0,0.0,89.29897374151022,SAC
entropy,sliding_window_z,True,67.0,17.0,3.0,SAC
entropy,cusum,True,66.0,16.0,3.3030736111712082,SAC
td_error,sliding_window_z,True,59.0,9.0,3.0,SAC
td_error,cusum,True,57.0,7.0,0.4076454024398762,SAC
value,sliding_window_z,True,50.0,0.0,3.0,Q-learning
value,cusum,True,50.0,0.0,5.7213186527649,Q-learning
q_chosen,sliding_window_z,True,50.0,0.0,3.0,Q-learning
q_chosen,cusum,True,50.0,0.0,5.7213186527649,Q-learning
td_error,sliding_window_z,True,55.0,5.0,3.0,Q-learning
td_error,cusum,True,51.0,1.0,1.834300652252074,Q-learning
