scope,gain,seed,return,length
all,0.0,0,-119.05959815515178,52.0
all,0.0,0,-147.078230651178,90.0
all,0.0,0,-166.9949002892655,81.0
all,0.0,0,-141.69806331635976,52.0
all,0.0,0,-146.35758573620294,82.0
all,0.0,0,-99.67866262471978,82.0
all,0.0,0,-123.02649815105485,56.0
all,0.0,0,-150.56188822425486,59.0
all,0.0,0,-135.61382593258162,55.0
all,0.0,0,-162.21493748525538,78.0
all,0.0,0,-128.61132690841134,57.0
all,0.0,0,-115.54613995926368,76.0
all,0.0,0,-133.52955626926806,75.0
all,0.0,0,-160.72720667569098,64.0
all,0.0,0,-85.70065046449653,54.0
all,0.0,0,-152.0489436122378,66.0
all,0.0,0,-114.72847427075786,73.0
all,0.0,0,-138.85103440576623,78.0
all,0.0,0,-187.21833561740718,74.0
all,0.0,0,-144.3282788436844,82.0
all,0.0,1,-152.42199500670523,81.0
all,0.0,1,-133.09648608856597,60.0
all,0.0,1,-165.6831867148578,70.0
all,0.0,1,-171.98085014589347,85.0
all,0.0,1,-111.89539612312845,55.0
all,0.0,1,-92.67448078920094,86.0
all,0.0,1,25.797510390678,96.0
all,0.0,1,-134.317339048055,79.0
all,0.0,1,-130.5660780424464,48.0
all,0.0,1,34.22789647908928,74.0
all,0.0,1,8.702736087409107,85.0
all,0.0,1,-118.899668208288,83.0
all,0.0,1,-150.26740433817116,86.0
all,0.0,1,-109.10980631365359,85.0
all,0.0,1,-85.02573088667756,86.0
all,0.0,1,-134.33533948931606,61.0
all,0.0,1,-129.80828200285865,59.0
all,0.0,1,-141.78552254873836,62.0
all,0.0,1,-139.12396944232955,57.0
all,0.0,1,-82.85476368395229,91.0
all,0.0,2,-115.80816582558325,76.0
all,0.0,2,-122.76726471968868,90.0
all,0.0,2,-155.21458999900284,63.0
all,0.0,2,-134.61657306877404,89.0
all,0.0,2,-130.2081209693723,57.0
all,0.0,2,-109.82910497386436,55.0
all,0.0,2,-149.09820907062135,66.0
all,0.0,2,-109.47389102705162,55.0
all,0.0,2,-141.04077136807481,76.0
all,0.0,2,-118.1227124049988,57.0
all,0.0,2,-212.70348849167385,89.0
all,0.0,2,-83.17892623736196,52.0
all,0.0,2,-109.635730017322,79.0
all,0.0,2,-140.04893276249845,57.0
all,0.0,2,-151.4216282874732,79.0
all,0.0,2,-109.20136986855209,55.0
all,0.0,2,-185.91285550569984,85.0
all,0.0,2,-153.45734304941143,91.0
all,0.0,2,-121.87668581199077,54.0
all,0.0,2,-169.88673797276957,68.0
all,0.0,3,-135.7037020430096,72.0
all,0.0,3,-51.96190974552533,84.0
all,0.0,3,-121.83269099566073,57.0
all,0.0,3,-163.69210048440374,79.0
all,0.0,3,-103.3604493755461,53.0
all,0.0,3,-153.69990416652308,63.0
all,0.0,3,-146.11654777365231,88.0
all,0.0,3,-169.91168652699523,79.0
all,0.0,3,-135.20044596490126,61.0
all,0.0,3,-114.36604920350484,64.0
all,0.0,3,-122.83309327262651,61.0
all,0.0,3,-140.20299315907585,78.0
all,0.0,3,-135.5253294886543,64.0
all,0.0,3,-91.98547273509612,57.0
all,0.0,3,-175.74429188137685,90.0
all,0.0,3,-139.05566597533294,66.0
all,0.0,3,-141.51068125644724,67.0
all,0.0,3,-116.57752009153339,60.0
all,0.0,3,-100.17231111436516,60.0
all,0.0,3,-123.30056248277037,59.0
all,0.0,4,-122.12372460085146,81.0
all,0.0,4,-190.18026369225265,73.0
all,0.0,4,-115.85150334506062,56.0
