condition,fault_step,fault_gain,algo,n_seeds,mean,std_across_seeds
fault_t200_g0.25,200.0,0.25,ppo,5,16.93163062,47.92676145652466
fault_t200_g0.25,200.0,0.25,ppo_dr,5,-38.10883120218913,11.409062145822242
fault_t200_g0.25,200.0,0.25,sac,5,224.83757440000005,52.19227121589068
fault_t200_g0.5,200.0,0.5,ppo,5,74.52306832666667,53.27846388265093
fault_t200_g0.5,200.0,0.5,ppo_dr,5,24.294178034464515,10.485400831124686
fault_t200_g0.5,200.0,0.5,sac,5,240.02606299333334,19.00832753224651
fault_t200_g0.75,200.0,0.75,ppo,5,242.33282687333332,11.292737435944302
fault_t200_g0.75,200.0,0.75,ppo_dr,5,151.46280382792156,13.109807620601298
fault_t200_g0.75,200.0,0.75,sac,5,254.34158629999996,34.45337956102302
fault_t200_g1.0,200.0,1.0,ppo,5,256.4510139800001,8.873823548022306
fault_t200_g1.0,200.0,1.0,ppo_dr,5,146.15916458129885,19.949125695949192
fault_t200_g1.0,200.0,1.0,sac,5,260.21677994666663,12.73975834376007
nominal,,,ppo,5,256.241931288,8.669341245193802
nominal,,,ppo_dr,5,147.73139601898194,17.98172624197638
nominal,,,sac,5,262.45500246,13.450540916137893
