algo,sigma,detector,params,det_rate,fa_rate,J,latency,gain_at_alarm
PPO_DR,0.0,ztest,{'z_star': 3.0},0.98,0.14,0.84,134.0,0.3626870690933448
PPO_DR,0.0,page_hinkley,"{'delta': 0.05, 'lam': 2}",1.0,1.0,0.0,-26.0,0.9216100650877322
PPO_DR,0.0,ewma,"{'alpha': 0.2, 'L': 5.0}",1.0,0.66,0.33999999999999997,121.5,0.5051803126027733
PPO_DR,0.02,ztest,{'z_star': 3.5},0.82,0.06,0.76,146.0,0.33862741940849195
PPO_DR,0.02,page_hinkley,"{'delta': 0.05, 'lam': 2}",1.0,1.0,0.0,-19.0,0.9252267044040249
PPO_DR,0.02,ewma,"{'alpha': 0.2, 'L': 5.0}",1.0,0.66,0.33999999999999997,114.0,0.5158661569942908
PPO_DR,0.04,ztest,{'z_star': 4.0},0.9,0.0,0.9,150.0,0.2876279024366619
PPO_DR,0.04,page_hinkley,"{'delta': 0.05, 'lam': 2}",1.0,1.0,0.0,-19.0,0.920830561160939
PPO_DR,0.04,ewma,"{'alpha': 0.2, 'L': 5.0}",1.0,0.66,0.33999999999999997,117.0,0.47788677729826484
PPO_DR,0.06,ztest,{'z_star': 3.0},0.92,0.14,0.78,137.0,0.33772331268615596
PPO_DR,0.06,page_hinkley,"{'delta': 0.05, 'lam': 2}",1.0,1.0,0.0,-19.0,0.9106282195368468
PPO_DR,0.06,ewma,"{'alpha': 0.2, 'L': 5.0}",0.98,0.66,0.31999999999999995,111.0,0.4938919696092626
PPO,0.0,ztest,{'z_star': 2.0},0.78,0.34,0.44,126.0,0.44564102468840205
PPO,0.0,page_hinkley,"{'delta': 0.1, 'lam': 30}",0.94,0.88,0.05999999999999994,47.0,0.743377868445959
PPO,0.0,ewma,"{'alpha': 0.2, 'L': 5.0}",0.8,0.38,0.42000000000000004,108.5,0.55580678387874
PPO,0.02,ztest,{'z_star': 2.0},0.82,0.34,0.4799999999999999,123.0,0.4511371105050839
PPO,0.02,page_hinkley,"{'delta': 0.25, 'lam': 14}",0.96,0.94,0.020000000000000018,47.5,0.7288290819071839
PPO,0.02,ewma,"{'alpha': 0.2, 'L': 5.0}",0.78,0.38,0.4,108.0,0.5575579848197983
PPO,0.04,ztest,{'z_star': 2.0},0.84,0.34,0.49999999999999994,127.0,0.46734077195110224
PPO,0.04,page_hinkley,"{'delta': 0.25, 'lam': 16}",0.96,0.9,0.05999999999999994,75.5,0.687814421942555
PPO,0.04,ewma,"{'alpha': 0.2, 'L': 5.0}",0.78,0.38,0.4,106.0,0.5869890145356305
PPO,0.06,ztest,{'z_star': 2.0},0.84,0.34,0.49999999999999994,114.0,0.5032413486960035
PPO,0.06,page_hinkley,"{'delta': 0.1, 'lam': 30}",0.94,0.88,0.05999999999999994,52.0,0.7242521232458302
PPO,0.06,ewma,"{'alpha': 0.2, 'L': 5.0}",0.84,0.38,0.45999999999999996,105.5,0.5709259924682237
